station_id,latitude,longitude,interval_timestamp,nb_passages
277,45.55037651450808,-73.57373356819151,1711584000000,280
277,45.55037651450808,-73.57373356819151,1712188800000,738
277,45.55037651450808,-73.57373356819151,1712793600000,1010
277,45.55037651450808,-73.57373356819151,1713398400000,1196
277,45.55037651450808,-73.57373356819151,1714003200000,1450
277,45.55037651450808,-73.57373356819151,1714608000000,1535
277,45.55037651450808,-73.57373356819151,1715212800000,1955
277,45.55037651450808,-73.57373356819151,1715817600000,2131
277,45.55037651450808,-73.57373356819151,1716422400000,2060
277,45.55037651450808,-73.57373356819151,1717027200000,2470
277,45.55037651450808,-73.57373356819151,1717632000000,2069
277,45.55037651450808,-73.57373356819151,1718236800000,2166
277,45.55037651450808,-73.57373356819151,1718841600000,2091
277,45.55037651450808,-73.57373356819151,1719446400000,2081
277,45.55037651450808,-73.57373356819151,1720051200000,2314
277,45.55037651450808,-73.57373356819151,1720656000000,2285
277,45.55037651450808,-73.57373356819151,1721260800000,2414
277,45.55037651450808,-73.57373356819151,1721865600000,2364
277,45.55037651450808,-73.57373356819151,1722470400000,2405
277,45.55037651450808,-73.57373356819151,1723075200000,2130
277,45.55037651450808,-73.57373356819151,1723680000000,2151
277,45.55037651450808,-73.57373356819151,1724284800000,2502
277,45.55037651450808,-73.57373356819151,1724889600000,2176
277,45.55037651450808,-73.57373356819151,1725494400000,2064
277,45.55037651450808,-73.57373356819151,1726099200000,2205
277,45.55037651450808,-73.57373356819151,1726704000000,460
1224,45.55848643894798,-73.59937280416489,1728518400000,40
1224,45.55848643894798,-73.59937280416489,1729123200000,74
1224,45.55848643894798,-73.59937280416489,1729728000000,44
1224,45.55848643894798,-73.59937280416489,1730332800000,64
1224,45.55848643894798,-73.59937280416489,1730937600000,54
1224,45.55848643894798,-73.59937280416489,1731542400000,21
849,45.56933906192115,-73.70472729206085,1712793600000,16
849,45.56933906192115,-73.70472729206085,1713398400000,56
849,45.56933906192115,-73.70472729206085,1714003200000,61
849,45.56933906192115,-73.70472729206085,1714608000000,52
849,45.56933906192115,-73.70472729206085,1715212800000,74
849,45.56933906192115,-73.70472729206085,1715817600000,104
849,45.56933906192115,-73.70472729206085,1716422400000,83
849,45.56933906192115,-73.70472729206085,1717027200000,104
849,45.56933906192115,-73.70472729206085,1717632000000,75
849,45.56933906192115,-73.70472729206085,1718236800000,82
849,45.56933906192115,-73.70472729206085,1718841600000,77
238,45.5568667309625,-73.589306473732,1710979200000,3
238,45.5568667309625,-73.589306473732,1711584000000,52
238,45.5568667309625,-73.589306473732,1712188800000,130
238,45.5568667309625,-73.589306473732,1712793600000,268
238,45.5568667309625,-73.589306473732,1713398400000,282
238,45.5568667309625,-73.589306473732,1714003200000,344
238,45.5568667309625,-73.589306473732,1714608000000,496
238,45.5568667309625,-73.589306473732,1715212800000,610
238,45.5568667309625,-73.589306473732,1715817600000,637
238,45.5568667309625,-73.589306473732,1716422400000,663
238,45.5568667309625,-73.589306473732,1717027200000,747
238,45.5568667309625,-73.589306473732,1717632000000,568
238,45.5568667309625,-73.589306473732,1718236800000,667
238,45.5568667309625,-73.589306473732,1718841600000,596
238,45.5568667309625,-73.589306473732,1719446400000,631
238,45.5568667309625,-73.589306473732,1720051200000,683
238,45.5568667309625,-73.589306473732,1720656000000,610
238,45.5568667309625,-73.589306473732,1721260800000,694
238,45.5568667309625,-73.589306473732,1721865600000,656
238,45.5568667309625,-73.589306473732,1722470400000,704
238,45.5568667309625,-73.589306473732,1723075200000,605
238,45.5568667309625,-73.589306473732,1723680000000,592
238,45.5568667309625,-73.589306473732,1724284800000,692
238,45.5568667309625,-73.589306473732,1724889600000,600
238,45.5568667309625,-73.589306473732,1725494400000,652
238,45.5568667309625,-73.589306473732,1726099200000,739
238,45.5568667309625,-73.589306473732,1726704000000,600
238,45.5568667309625,-73.589306473732,1727308800000,592
238,45.5568667309625,-73.589306473732,1727913600000,609
238,45.5568667309625,-73.589306473732,1728518400000,542
238,45.5568667309625,-73.589306473732,1729123200000,526
238,45.5568667309625,-73.589306473732,1729728000000,496
238,45.5568667309625,-73.589306473732,1730332800000,470
238,45.5568667309625,-73.589306473732,1730937600000,365
238,45.5568667309625,-73.589306473732,1731542400000,260
238,45.5568667309625,-73.589306473732,1732147200000,77
1137,45.56132407262574,-73.59629362821578,1725494400000,289
1137,45.56132407262574,-73.59629362821578,1726099200000,528
1137,45.56132407262574,-73.59629362821578,1726704000000,445
1137,45.56132407262574,-73.59629362821578,1727308800000,509
1137,45.56132407262574,-73.59629362821578,1727913600000,543
1137,45.56132407262574,-73.59629362821578,1728518400000,396
1137,45.56132407262574,-73.59629362821578,1729123200000,553
1137,45.56132407262574,-73.59629362821578,1729728000000,395
1137,45.56132407262574,-73.59629362821578,1730332800000,428
1137,45.56132407262574,-73.59629362821578,1730937600000,324
1137,45.56132407262574,-73.59629362821578,1731542400000,167
859,45.55937286274167,-73.69852066040038,1712188800000,1
859,45.55937286274167,-73.69852066040038,1712793600000,21
859,45.55937286274167,-73.69852066040038,1713398400000,22
859,45.55937286274167,-73.69852066040038,1714003200000,55
859,45.55937286274167,-73.69852066040038,1714608000000,49
859,45.55937286274167,-73.69852066040038,1715212800000,101
859,45.55937286274167,-73.69852066040038,1715817600000,104
859,45.55937286274167,-73.69852066040038,1716422400000,95
859,45.55937286274167,-73.69852066040038,1717027200000,142
859,45.55937286274167,-73.69852066040038,1717632000000,105
859,45.55937286274167,-73.69852066040038,1718236800000,95
859,45.55937286274167,-73.69852066040038,1718841600000,88
