station_id,name,arrondissement,lat,lon
161,Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.50856686947439,-73.57769787311554
190,Aylmer / Sherbrooke,Le Plateau-Mont-Royal,45.50629456823703,-73.57282698154448
376,Aylmer / Ste-Catherine,Ville-Marie,45.50434678685089,-73.56894850730896
67,Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.54428297135084,-73.54544162750244
95,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574
536,BIXI K5,Rosemont - La Petite-Patrie,45.53029763358792,-73.60139787197113
400,Ball / Bloomfield,Villeray—Saint-Michel—Parc-Extension,45.529996997063385,-73.63287091255188
454,Basile-Routhier / Chabanel,Ahuntsic-Cartierville,45.549846830745,-73.64767402410507
577,Bassin olympique (Chemin du Chenal le Moyne),Ville-Marie,45.5169025120042,-73.52724552154541
507,Beaconsfield / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.46718513123257,-73.62231373786926
251,Beatty / de Verdun,Verdun,45.450729976972944,-73.5725748538971
332,Beaudry / Sherbrooke,Ville-Marie,45.52303493310712,-73.56539458036421
774,Beauregard / La Salle,Longueuil,45.511126706889264,-73.4860880487031
778,Bel Air / St-Antoine,Le Sud-Ouest,45.4824297233159,-73.58367975812143
109,Bennett / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.55315915057821,-73.53263273835182
339,Benny / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.4648769981855,-73.62659722566605
293,Bercy / Rachel,Le Plateau-Mont-Royal,45.53840340979245,-73.56196403503418
499,Berlioz / de l'Île des Soeurs,Verdun,45.45998577640931,-73.54395568370819
405,Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.52428310031213,-73.6049484461546
279,Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809
912,Berri / Gilford,Le Plateau-Mont-Royal,45.52677632748293,-73.58606100082396
813,Berri / Laurier,Le Plateau-Mont-Royal,45.52809995527671,-73.58843871625139
60,Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555
1187,Berri / de Maisonneuve,Ville-Marie,45.51531350570208,-73.56135049208204
448,Beurling / Godin,Verdun,45.44791581215845,-73.58381867408752
806,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),Anjou,45.6027276,-73.5579303
56,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Ahuntsic-Cartierville,45.5534000891078,-73.66225451231003
517,Bibliothèque de Verdun (Brown / Bannantyne),Verdun,45.44826204820947,-73.57785612344742
618,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),Saint-Laurent,45.512843286755896,-73.67612421512604
640,Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,45.55151193681962,-73.58207792043686
810,Bishop / René-Lévesque,Ville-Marie,45.49536795507059,-73.57401251792908
910,Bishop / Ste-Catherine,Ville-Marie,45.496597761984034,-73.57650284979172
590,Bloomfied / Elmwood,Outremont,45.51825588419192,-73.60320568084717
457,Bloomfield / Bernard,Outremont,45.52033819370831,-73.60775470733641
385,Bloomfield / Van Horne,Outremont,45.522745298216094,-73.61328139901161
838,Boileau / Monsabré,Mercier - Hochelaga-Maisonneuve,45.57175879648152,-73.54176163673401
1173,Bordeaux / Marianne,Le Plateau-Mont-Royal,45.53337530757402,-73.57063829898834
1166,Bourbonnière / Hochelaga,Mercier - Hochelaga-Maisonneuve,45.54987688385806,-73.54922890663147
955,Bourbonnière / Ontario,Mercier - Hochelaga-Maisonneuve,45.54795814818623,-73.54309067130089
703,Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,45.55358456339093,-73.56052905321121
198,Bourgeoys / Favard,Le Sud-Ouest,45.47993042065731,-73.55592101812363
299,Bourget / St-Jacques,Le Sud-Ouest,45.48067368593179,-73.58351558446884
206,Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026
308,Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897
733,Boyer / Everett,Villeray—Saint-Michel—Parc-Extension,45.54310243053054,-73.61607524188003
256,Boyer / Jean-Talon,Rosemont - La Petite-Patrie,45.541569834507,-73.61250426627521
741,Boyer / Laurier,Le Plateau-Mont-Royal,45.5303709134972,-73.58651027083397
264,Boyer / Rosemont,Rosemont - La Petite-Patrie,45.53409866804061,-73.59553456306458
744,Boyer / St-Joseph,Le Plateau-Mont-Royal,45.52949317285589,-73.58450902629556
139,Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.53848,-73.60556
325,Boyer / du Mont-Royal,Le Plateau-Mont-Royal,45.527432126380575,-73.57991673052311
790,Brittany / Ainsley,Mont-Royal,45.52588991809354,-73.65003436803818
847,Brébeuf / Curé-Poirier,Longueuil,45.52688330834135,-73.48339325750203
496,Bélanger / St-Denis,Rosemont - La Petite-Patrie,45.53696,-73.61199
532,Bélanger / des Galeries d'Anjou,Anjou,45.59722114932571,-73.56279015541077
614,CCI Outremont (Dollard / Ducharme),Outremont,45.52001910239163,-73.61890733242035
695,CHSLD Joseph-François-Perrault (St-Michel / Everett),Villeray—Saint-Michel—Parc-Extension,45.55969734528566,-73.60145956277847
92,CHSLD Robert Cliche (de Bellechasse / 16e avenue),Rosemont - La Petite-Patrie,45.557568,-73.579191
634,CHSLD St-Michel (8e avenue / Jarry),Villeray—Saint-Michel—Parc-Extension,45.5616903,-73.610512
358,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50398168549117,-73.62283945083618
14,Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.52783154456306,-73.5719096660614
463,Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,45.52479,-73.56545
687,Campus MIL (Outremont / Thérèse-Lavoie Roux),Outremont,45.52311432992147,-73.61815363168716
702,Canning / Notre-Dame,Le Sud-Ouest,45.48631864401023,-73.5702332854271
563,Carrefour Angrignon (Angrignon / Newman),LaSalle,45.44843408492706,-73.6129454523325
763,Cartier / Beaubien,Rosemont - La Petite-Patrie,45.54388472666988,-73.59636068344116
229,Cartier / Bélanger,Rosemont - La Petite-Patrie,45.546779039476185,-73.60281676054001
412,Cartier / Dandurand,Rosemont - La Petite-Patrie,45.53923559055867,-73.58594566583633
444,Cartier / Gilford,Le Plateau-Mont-Royal,45.5352743438056,-73.57738137245178
106,Cartier / Marie-Anne,Le Plateau-Mont-Royal,45.53280412806031,-73.57190161943436
334,Cartier / Masson,Le Plateau-Mont-Royal,45.5380207402854,-73.58352363109587
558,Cartier / Rosemont,Rosemont - La Petite-Patrie,45.54124722370603,-73.59104454517365
629,Cartier / St-Joseph,Le Plateau-Mont-Royal,45.53582823686429,-73.57869029045105
142,Casgrain / Maguire,Le Plateau-Mont-Royal,45.52621764749851,-73.5957657695144
581,Casgrain / St-Viateur,Le Plateau-Mont-Royal,45.52749588747077,-73.59883285129399
594,Casino de Montréal,Ville-Marie,45.5063732,-73.52457672
373,Cathcart / McGill College,Ville-Marie,45.501187681489775,-73.57045487814501
361,Centre des loisirs (Tassé / Grenet),Saint-Laurent,45.51473429416659,-73.69144901633263
930,Centre récréatif Édouard-Rivet (Notre-Dame / Lesage),Montréal-Est,45.62846158049899,-73.49952153861523
466,Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,45.57414703721992,-73.57462137937546
977,Chabanel / Esplanade,Ahuntsic-Cartierville,45.54132316817171,-73.65271349801333
398,Chabanel / Tolhurst,Ahuntsic-Cartierville,45.540105018786974,-73.65347027778625
401,Chabanel / du Parc,Ahuntsic-Cartierville,45.53830765459552,-73.6548838019371
224,Chabot / Beaubien,Rosemont - La Petite-Patrie,45.54437554639807,-73.59564453363419
472,Chabot / Mont-Royal,Le Plateau-Mont-Royal,45.53413436610844,-73.57352435588837
565,Chabot / Villeray,Villeray—Saint-Michel—Parc-Extension,45.552289376429215,-73.61300647258759
149,Chambord / Beaubien,Rosemont - La Petite-Patrie,45.539900246044354,-73.59936207532883
572,Chambord / Fleury,Ahuntsic-Cartierville,45.55982811984724,-73.65832507610321
159,Chambord / Gilford,Le Plateau-Mont-Royal,45.53149589691095,-73.58106877662067
578,Champdoré / de Lorimier,Villeray—Saint-Michel—Parc-Extension,45.566869345371856,-73.64101678133011
1249,Champlain / Ste-Catherine,Ville-Marie,45.52171703048863,-73.55293308672117
261,Chapleau / du Mont-Royal,Le Plateau-Mont-Royal,45.53867,-73.56936
938,Charles-Biddle / Atwater,Le Sud-Ouest,45.47913738100108,-73.57514977455139
350,Chomedey / de Maisonneuve,Ville-Marie,45.491750449903954,-73.58394473791122
1161,Christophe-Colomb / Beaubien,Rosemont - La Petite-Patrie,45.53783932655299,-73.60115647315979
1044,Christophe-Colomb / Gilford,Le Plateau-Mont-Royal,45.52951597528168,-73.58263850212097
529,Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,45.53036486555959,-73.58439266681671
834,Churchill / Empire,Longueuil,45.49211844605989,-73.48672430497572
488,City Councillors / du President-Kennedy,Ville-Marie,45.50625103256782,-73.57139065861702
357,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),Villeray—Saint-Michel—Parc-Extension,45.55984236120471,-73.61544728279114
1023,Clanranald / de la Côte-St-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,45.47900836315578,-73.62692713737488
898,Clark / Evans,Ville-Marie,45.511105776623936,-73.56784012175922
413,Clark / Fleury,Ahuntsic-Cartierville,45.54758205939525,-73.66522908210754
442,Clark / Laurier,Le Plateau-Mont-Royal,45.52258379226127,-73.59361327255101
170,Clark / Ontario,Ville-Marie,45.51059890498207,-73.56692545115948
141,Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004
248,Clark / Rachel,Le Plateau-Mont-Royal,45.517537449207474,-73.58241524554614
134,Clark / St-Viateur,Le Plateau-Mont-Royal,45.5251943015533,-73.59935637563467
451,Clark / de Liège,Villeray—Saint-Michel—Parc-Extension,45.53998802401576,-73.63811277307832
18,Clark / de l'Arcade,Le Plateau-Mont-Royal,45.527371996141,-73.60398352146149
957,Coffee / Elmhurst,Côte-des-Neiges - Notre-Dame-de-Grâce,45.454791592731134,-73.64039182662964
1176,Collège Ahuntsic (St-Hubert / Émile-Journault),Ahuntsic-Cartierville,45.55118940267553,-73.64060204476118
1167,Collège André-Grasset (Crémazie / Christophe-Colomb),Ahuntsic-Cartierville,45.55098964971912,-73.63216600382657
962,Collège Bois-de-Boulogne (Bois-de-Boulogne),Ahuntsic-Cartierville,45.53690740947054,-73.67478135508463
1174,Collège de Maisonneuve (Sherbrooke / Bourbonnière),Mercier - Hochelaga-Maisonneuve,45.55144364425768,-73.55469642207026
41,Collège de Rosemont (Beaubien / 15e avenue),Rosemont - La Petite-Patrie,45.55774990838239,-73.58380123972893
174,Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758
40,Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.50788520688478,-73.56315059590997
54,Complexe sportif Claude-Robillard (Émile-Journault),Ahuntsic-Cartierville,45.55358456339093,-73.6383855342865
176,Crescent / René-Lévesque,Ville-Marie,45.49606309334117,-73.57347276069049
533,Crescent / Ste-Catherine,Ville-Marie,45.497315237071845,-73.57590820647602
214,Crescent / de Maisonneuve,Ville-Marie,45.49812041247333,-73.57759594917297
